cas,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRings,pEC50
108952,94.11299999999997,1.3921999999999997,20.23,1.0,1.0,0.0,1.0,1.0,2.405447893391213
95578,128.558,2.0456,20.23,1.0,1.0,0.0,1.0,1.0,2.87865018603196
106489,128.558,2.0456000000000008,20.23,1.0,1.0,0.0,1.0,1.0,3.6245282087183788
120832,163.003,2.6990000000000003,20.23,1.0,1.0,0.0,1.0,1.0,4.403606927216012
87650,163.003,2.6990000000000003,20.23,1.0,1.0,0.0,1.0,1.0,4.2254238632141305
88062,197.448,3.3524,20.23,1.0,1.0,0.0,1.0,1.0,4.460493252547729
58902,231.893,4.0058,20.23,1.0,1.0,0.0,1.0,1.0,4.656760174371377
87865,266.33799999999997,4.6592,20.23,1.0,1.0,0.0,1.0,1.0,5.09419102519684
71432,78.11399999999999,1.6866,0.0,0.0,0.0,0.0,1.0,1.0,2.173247385638513
95476,106.16799999999999,2.30344,0.0,0.0,0.0,0.0,1.0,1.0,3.285630946671024
91203,128.17399999999995,2.839800000000001,0.0,0.0,0.0,0.0,2.0,2.0,3.589285997928124
108883,92.14099999999999,1.99502,0.0,0.0,0.0,0.0,1.0,1.0,2.575202600157542
7775113,161.972,-8.610100000000001,80.25999999999999,0.0,4.0,0.0,0.0,0.0,5.232318690091488
13472452,293.816,-8.610100000000001,80.25999999999999,0.0,4.0,0.0,0.0,0.0,4.080816959109051
10138520,263.60900000000004,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.219399973041244
13718268,121.93099999999998,-4.4251000000000005,57.199999999999996,0.0,3.0,0.0,0.0,0.0,2.5217852854055174
13537183,275.293,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.247887485540697
10361918,279.399,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.254317164402625
7785877,151.00099999999998,-1.3404999999999996,80.25999999999999,0.0,4.0,0.0,0.0,0.0,4.331677223939258
10042883,265.284,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.22215079670217
10026127,270.17100000000005,3.4449999999999994,0.0,0.0,0.0,0.0,0.0,0.0,5.283306135136681
10099668,281.326,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.267403881340099
10025737,158.35500000000002,2.066,0.0,0.0,0.0,0.0,0.0,0.0,4.5439668044586385
10025748,268.85900000000004,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.237616895985154
7699436,178.129,-6.113300000000001,17.07,0.0,1.0,0.0,0.0,0.0,4.911931153460677
10138622,271.289,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.241524501718113
27774136,163.00599999999997,-1.4592999999999996,97.32999999999998,0.0,5.0,0.0,0.0,0.0,5.04497671483422
10138417,273.619,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.245238568349733
7705079,154.226,2.066,0.0,0.0,0.0,0.0,0.0,0.0,4.17964092523728
7647156,102.89399999999999,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,2.3134200463946915
7447407,74.551,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,2.0703404467540776
7791119,120.921,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,2.722422078373146
7647178,168.358,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,3.9669767879892444
7487889,120.368,-1.7187999999999997,80.25999999999999,0.0,4.0,0.0,0.0,0.0,2.039945450909166
10476854,158.526,-6.3728,0.0,0.0,0.0,0.0,0.0,0.0,3.024009242390841
10361372,208.234,-6.3728,0.0,0.0,0.0,0.0,0.0,0.0,4.565976652473919
10026081,373.8499999999999,2.758,0.0,0.0,0.0,0.0,0.0,0.0,5.5815617684629135
10102064,394.035,-0.7158000000000002,166.54,0.0,8.0,0.0,0.0,0.0,5.143989806075202
10361849,151.315,2.066,0.0,0.0,0.0,0.0,0.0,0.0,4.728336988686684
10361929,195.26500000000001,-8.990499999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.725136059957836
10099588,245.26500000000001,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.583243649233481
7790865,246.47500000000002,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.940227881790052
10024938,250.59900000000002,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.169283089756375
10361827,256.71900000000005,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.179761768499637
10025760,258.323,2.0685000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.191708534627318
10043524,110.98400000000001,-6.3728,0.0,0.0,0.0,0.0,0.0,0.0,2.59810234192582
13106768,196.01399999999998,-1.8657,153.26,2.0,4.0,0.0,0.0,0.0,4.204241461755216
7791084,173.21200000000002,-3.4955999999999996,28.5,0.0,0.0,0.0,0.0,0.0,6.582913000174079
7681494,41.988,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,2.8577094671024463
13510491,105.07499999999999,-1.7187999999999999,80.25999999999999,0.0,4.0,0.0,0.0,0.0,4.632423773485653
7647145,58.443,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,1.9650520388937718
7705080,162.204,2.066,0.0,0.0,0.0,0.0,0.0,0.0,4.582425307289624
7646799,129.839,-5.9945,0.0,0.0,0.0,0.0,0.0,0.0,6.12990686646869
13138459,182.701,-0.4807000000000002,132.4,0.0,6.0,0.0,0.0,0.0,7.227091918379028
7758987,159.60899999999998,-1.3404999999999996,80.25999999999999,0.0,4.0,0.0,0.0,0.0,6.11123028099908
7733020,161.45299999999997,-1.3404999999999996,80.25999999999999,0.0,4.0,0.0,0.0,0.0,5.714315030862364
10108642,183.318,1.3765,0.0,0.0,0.0,0.0,0.0,0.0,5.409497220821722
7487947,271.496,1.3765,0.0,0.0,0.0,0.0,0.0,0.0,6.349190510642688
7446700,133.341,1.6877,0.0,0.0,0.0,0.0,0.0,0.0,4.185541624182454
10025828,221.17700000000002,1.6877,0.0,0.0,0.0,0.0,0.0,0.0,5.090812027234891
7446186,504.82900000000006,-2.0995999999999997,80.25999999999999,0.0,4.0,0.0,0.0,0.0,7.251599301587611
7772998,189.617,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,5.243784340289425
10099748,331.20799999999997,-0.8590000000000002,132.4,0.0,6.0,0.0,0.0,0.0,5.391098274993707
12232994,279.967,-4.8034,57.199999999999996,0.0,3.0,0.0,0.0,0.0,4.740289345019667
10102188,172.93699999999998,-8.8696,63.19,0.0,3.0,0.0,0.0,0.0,4.7494067255975585
10102202,221.577,-8.8696,63.19,0.0,3.0,0.0,0.0,0.0,4.041797166418868
7778430,185.906,-9.4266,83.42,1.0,3.0,0.0,0.0,0.0,6.705264935238325
1330434,201.221,-10.2352,92.27000000000001,0.0,7.0,0.0,2.0,0.0,4.4371549614986066
10377487,109.945,-7.329999999999999,80.25999999999999,0.0,4.0,0.0,0.0,0.0,2.9875704987884264
7447394,134.452,1.3765,0.0,0.0,0.0,0.0,0.0,0.0,5.059797860491785
10325947,236.42000000000002,-0.4807000000000002,132.4,0.0,6.0,0.0,0.0,0.0,5.093402646144334
1461229,325.51200000000006,5.571000000000006,0.0,0.0,0.0,9.0,0.0,0.0,6.868128413997725
57136,60.05599999999999,-0.9762,69.11,2.0,1.0,0.0,0.0,0.0,1.0795863985223102
7757791,101.102,-3.2351,66.2,0.0,3.0,0.0,0.0,0.0,1.9835704478204945
506876,96.086,-1.6946000000000003,136.19,2.0,3.0,0.0,0.0,0.0,2.4641461744746267
5746178,273.156,-1.4853999999999996,49.36,0.0,3.0,3.0,1.0,1.0,0.3010299956639812
1014706,213.31000000000003,1.4570999999999996,62.73,2.0,6.0,5.0,1.0,1.0,5.593483868504591
